spectrogram,label
bcnher_XC493181.ogg.npy,bcnher
comgre_XC670134.ogg.npy,comgre
houspa_XC696160.ogg.npy,houspa
eucdov_XC464450.ogg.npy,eucdov
comgre_XC496087.ogg.npy,comgre
bcnher_XC581481.ogg.npy,bcnher
gyhcaf1_XC615935.ogg.npy,gyhcaf1
labcro1_XC787547.ogg.npy,labcro1
litspi1_XC756452.ogg.npy,litspi1
eucdov_XC655243.ogg.npy,eucdov
commoo3_XC748851.ogg.npy,commoo3
categr_XC800075.ogg.npy,categr
commyn_XC187036.ogg.npy,commyn
gryfra_XC405322.ogg.npy,gryfra
comgre_XC785497.ogg.npy,comgre
woosan_XC745588.ogg.npy,woosan
inbrob1_XC324585.ogg.npy,inbrob1
eurcoo_XC645885.ogg.npy,eurcoo
placuc3_XC422442.ogg.npy,placuc3
brcful1_XC854330.ogg.npy,brcful1
indtit1_XC497093.ogg.npy,indtit1
rorpar_XC683049.ogg.npy,rorpar
blakit1_XC341673.ogg.npy,blakit1
brodro1_XC623265.ogg.npy,brodro1
nutman_XC594282.ogg.npy,nutman
hoopoe_XC804256.ogg.npy,hoopoe
grnsan_XC507721.ogg.npy,grnsan
comkin1_XC502229.ogg.npy,comkin1
grywag_XC589771.ogg.npy,grywag
commyn_XC410023.ogg.npy,commyn
oripip1_XC143496.ogg.npy,oripip1
litgre1_XC509422.ogg.npy,litgre1
comros_XC67246.ogg.npy,comros
houspa_XC580074.ogg.npy,houspa
litswi1_XC659392.ogg.npy,litswi1
whrmun_XC406887.ogg.npy,whrmun
rerswa1_XC199570.ogg.npy,rerswa1
bkwsti_XC796482.ogg.npy,bkwsti
eucdov_XC121001.ogg.npy,eucdov
piekin1_XC515894.ogg.npy,piekin1
eaywag1_XC519587.ogg.npy,eaywag1
litswi1_XC167704.ogg.npy,litswi1
spodov_XC776519.ogg.npy,spodov
crseag1_XC295752.ogg.npy,crseag1
bkskit1_XC513401.ogg.npy,bkskit1
comgre_XC424244.ogg.npy,comgre
putbab1_XC563102.ogg.npy,putbab1
comkin1_XC765883.ogg.npy,comkin1
eucdov_XC309876.ogg.npy,eucdov
houcro1_XC552422.ogg.npy,houcro1
rerswa1_XC734722.ogg.npy,rerswa1
lblwar1_XC814096.ogg.npy,lblwar1
grywag_XC267569.ogg.npy,grywag
comgre_XC724744.ogg.npy,comgre
purher1_XC746268.ogg.npy,purher1
comros_XC481210.ogg.npy,comros
commyn_XC662734.ogg.npy,commyn
plapri1_XC841260.ogg.npy,plapri1
hoopoe_XC202566.ogg.npy,hoopoe
sohmyn1_XC615784.ogg.npy,sohmyn1
sbeowl1_XC622708.ogg.npy,sbeowl1
brnhao1_XC438467.ogg.npy,brnhao1
litegr_XC411335.ogg.npy,litegr
bkskit1_XC351398.ogg.npy,bkskit1
hoopoe_XC467855.ogg.npy,hoopoe
comgre_XC639585.ogg.npy,comgre
eaywag1_XC489391.ogg.npy,eaywag1
eurcoo_XC624824.ogg.npy,eurcoo
bkwsti_XC669689.ogg.npy,bkwsti
copbar1_XC585138.ogg.npy,copbar1
malpar1_XC197770.ogg.npy,malpar1
eaywag1_XC432116.ogg.npy,eaywag1
grnsan_XC583039.ogg.npy,grnsan
sohmyn1_XC499660.ogg.npy,sohmyn1
litegr_XC333952.ogg.npy,litegr
spepic1_XC686241.ogg.npy,spepic1
eucdov_XC726351.ogg.npy,eucdov
houspa_XC374431.ogg.npy,houspa
hoopoe_XC631581.ogg.npy,hoopoe
grecou1_XC858902.ogg.npy,grecou1
litgre1_XC825767.ogg.npy,litgre1
brnshr_XC329966.ogg.npy,brnshr
zitcis1_XC610202.ogg.npy,zitcis1
grnsan_XC666669.ogg.npy,grnsan
graher1_XC526872.ogg.npy,graher1
litspi1_XC708249.ogg.npy,litspi1
litegr_XC795966.ogg.npy,litegr
grenig1_XC348187.ogg.npy,grenig1
blhori1_XC255433.ogg.npy,blhori1
whbwoo2_XC295436.ogg.npy,whbwoo2
hoopoe_XC120517.ogg.npy,hoopoe
scamin3_XC135331.ogg.npy,scamin3
junbab2_XC789404.ogg.npy,junbab2
asikoe2_XC208773.ogg.npy,asikoe2
graher1_XC799810.ogg.npy,graher1
comkin1_XC598243.ogg.npy,comkin1
thbwar1_XC117059.ogg.npy,thbwar1
woosan_XC552623.ogg.npy,woosan
grywag_XC437039.ogg.npy,grywag
barswa_XC367332.ogg.npy,barswa
barswa_XC690503.ogg.npy,barswa
rewlap1_XC335664.ogg.npy,rewlap1
rorpar_XC857890.ogg.npy,rorpar
brnshr_XC610604.ogg.npy,brnshr
grnsan_XC665321.ogg.npy,grnsan
indtit1_XC576910.ogg.npy,indtit1
blrwar1_XC439732.ogg.npy,blrwar1
pursun4_XC713195.ogg.npy,pursun4
grtdro1_XC578797.ogg.npy,grtdro1
lblwar1_XC408326.ogg.npy,lblwar1
grywag_XC806230.ogg.npy,grywag
blrwar1_XC567838.ogg.npy,blrwar1
hoopoe_XC793077.ogg.npy,hoopoe
commoo3_XC856844.ogg.npy,commoo3
barswa_XC677139.ogg.npy,barswa
bcnher_XC682738.ogg.npy,bcnher
junbab2_XC444552.ogg.npy,junbab2
comros_XC485173.ogg.npy,comros
eucdov_XC128704.ogg.npy,eucdov
woosan_XC808858.ogg.npy,woosan
lirplo_XC184341.ogg.npy,lirplo
ashdro1_XC507992.ogg.npy,ashdro1
stbkin1_XC636704.ogg.npy,stbkin1
comtai1_XC806393.ogg.npy,comtai1
sttwoo1_XC639943.ogg.npy,sttwoo1
houspa_XC635431.ogg.npy,houspa
bkskit1_XC704241.ogg.npy,bkskit1
graher1_XC740192.ogg.npy,graher1
insowl1_XC215940.ogg.npy,insowl1
ingori1_XC143255.ogg.npy,ingori1
comsan_XC578546.ogg.npy,comsan
comros_XC25088.ogg.npy,comros
putbab1_XC829154.ogg.npy,putbab1
laudov1_XC131310.ogg.npy,laudov1
lirplo_XC651954.ogg.npy,lirplo
gloibi_XC799984.ogg.npy,gloibi
litgre1_XC638815.ogg.npy,litgre1
grywag_XC790992.ogg.npy,grywag
woosan_XC282815.ogg.npy,woosan
woosan_XC743639.ogg.npy,woosan
houspa_XC243568.ogg.npy,houspa
gyhcaf1_XC838156.ogg.npy,gyhcaf1
grnsan_XC567942.ogg.npy,grnsan
litegr_XC365090.ogg.npy,litegr
litegr_XC383745.ogg.npy,litegr
graher1_XC842809.ogg.npy,graher1
graher1_XC671502.ogg.npy,graher1
blrwar1_XC765804.ogg.npy,blrwar1
eaywag1_XC567555.ogg.npy,eaywag1
blhori1_XC396841.ogg.npy,blhori1
nutman_XC237114.ogg.npy,nutman
comros_XC477367.ogg.npy,comros
comkin1_XC712822.ogg.npy,comkin1
litgre1_XC579852.ogg.npy,litgre1
grnwar1_XC482856.ogg.npy,grnwar1
ruftre2_XC529853.ogg.npy,ruftre2
commyn_XC521180.ogg.npy,commyn
plapri1_XC722668.ogg.npy,plapri1
ashwoo2_XC424487.ogg.npy,ashwoo2
comfla1_XC637959.ogg.npy,comfla1
redspu1_XC469479.ogg.npy,redspu1
pursun4_XC375295.ogg.npy,pursun4
whiter2_XC265270.ogg.npy,whiter2
laudov1_XC587890.ogg.npy,laudov1
comsan_XC342915.ogg.npy,comsan
grywag_XC376565.ogg.npy,grywag
rerswa1_XC178392.ogg.npy,rerswa1
comsan_XC683470.ogg.npy,comsan
comkin1_XC185389.ogg.npy,comkin1
gargan_XC710075.ogg.npy,gargan
rossta2_XC652557.ogg.npy,rossta2
barswa_XC585550.ogg.npy,barswa
hoopoe_XC237753.ogg.npy,hoopoe
gargan_XC634354.ogg.npy,gargan
grnwar1_XC817781.ogg.npy,grnwar1
brnhao1_XC173508.ogg.npy,brnhao1
whbwat1_XC795996.ogg.npy,whbwat1
grejun2_XC196742.ogg.npy,grejun2
gyhcaf1_XC19711.ogg.npy,gyhcaf1
grtdro1_XC384442.ogg.npy,grtdro1
lirplo_XC582934.ogg.npy,lirplo
lirplo_XC558971.ogg.npy,lirplo
grywag_XC320625.ogg.npy,grywag
gargan_XC711125.ogg.npy,gargan
brakit1_XC32855.ogg.npy,brakit1
eaywag1_XC334154.ogg.npy,eaywag1
wemhar1_XC689515.ogg.npy,wemhar1
rocpig_XC829899.ogg.npy,rocpig
hoopoe_XC598504.ogg.npy,hoopoe
grnsan_XC677341.ogg.npy,grnsan
brodro1_XC577833.ogg.npy,brodro1
grnsan_XC835904.ogg.npy,grnsan
comtai1_XC506860.ogg.npy,comtai1
zitcis1_XC633503.ogg.npy,zitcis1
houspa_XC299783.ogg.npy,houspa
comgre_XC507426.ogg.npy,comgre
rossta2_XC135035.ogg.npy,rossta2
hoopoe_XC484332.ogg.npy,hoopoe
lirplo_XC448947.ogg.npy,lirplo
malpar1_XC215862.ogg.npy,malpar1
eurcoo_XC723518.ogg.npy,eurcoo
rewbul_XC198624.ogg.npy,rewbul
dafbab1_XC188307.ogg.npy,dafbab1
gloibi_XC358222.ogg.npy,gloibi
eucdov_XC423118.ogg.npy,eucdov
comros_XC573419.ogg.npy,comros
brnhao1_XC684827.ogg.npy,brnhao1
piebus1_XC177160.ogg.npy,piebus1
gargan_XC670102.ogg.npy,gargan
plapri1_XC829167.ogg.npy,plapri1
comkin1_XC603416.ogg.npy,comkin1
whiter2_XC265267.ogg.npy,whiter2
bkskit1_XC350267.ogg.npy,bkskit1
barswa_XC360600.ogg.npy,barswa
comkin1_XC584299.ogg.npy,comkin1
eaywag1_XC412708.ogg.npy,eaywag1
tibfly3_XC267349.ogg.npy,tibfly3
grywag_XC634606.ogg.npy,grywag
crseag1_XC471059.ogg.npy,crseag1
vefnut1_XC321608.ogg.npy,vefnut1
compea_XC725330.ogg.npy,compea
kenplo1_XC527211.ogg.npy,kenplo1
plapri1_XC383096.ogg.npy,plapri1
greegr_XC2778.ogg.npy,greegr
grywag_XC458294.ogg.npy,grywag
insbab1_XC196963.ogg.npy,insbab1
lirplo_XC378043.ogg.npy,lirplo
commoo3_XC540840.ogg.npy,commoo3
blrwar1_XC614071.ogg.npy,blrwar1
litspi1_XC296442.ogg.npy,litspi1
comkin1_XC502269.ogg.npy,comkin1
rorpar_XC522975.ogg.npy,rorpar
rossta2_XC825831.ogg.npy,rossta2
tibfly3_XC519466.ogg.npy,tibfly3
blrwar1_XC482360.ogg.npy,blrwar1
comtai1_XC143962.ogg.npy,comtai1
marsan_XC182915.ogg.npy,marsan
gyhcaf1_XC237544.ogg.npy,gyhcaf1
barswa_XC435493.ogg.npy,barswa
comsan_XC587840.ogg.npy,comsan
eaywag1_XC492498.ogg.npy,eaywag1
hoopoe_XC736463.ogg.npy,hoopoe
junbab2_XC684278.ogg.npy,junbab2
ashdro1_XC769354.ogg.npy,ashdro1
comros_XC828561.ogg.npy,comros
bcnher_XC839161.ogg.npy,bcnher
insbab1_XC178248.ogg.npy,insbab1
chbeat1_XC797013.ogg.npy,chbeat1
whiter2_XC779021.ogg.npy,whiter2
lirplo_XC558288.ogg.npy,lirplo
nutman_XC590062.ogg.npy,nutman
grtdro1_XC404419.ogg.npy,grtdro1
comkin1_XC741370.ogg.npy,comkin1
ashpri1_XC530822.ogg.npy,ashpri1
emedov2_XC777757.ogg.npy,emedov2
placuc3_XC256499.ogg.npy,placuc3
indpit1_XC572629.ogg.npy,indpit1
eaywag1_XC471743.ogg.npy,eaywag1
commyn_XC509307.ogg.npy,commyn
yebbab1_XC318440.ogg.npy,yebbab1
rerswa1_XC697560.ogg.npy,rerswa1
grnsan_XC573389.ogg.npy,grnsan
plapri1_XC637256.ogg.npy,plapri1
eurcoo_XC466446.ogg.npy,eurcoo
bkwsti_XC504501.ogg.npy,bkwsti
comtai1_XC170592.ogg.npy,comtai1
copbar1_XC308050.ogg.npy,copbar1
inbrob1_XC266069.ogg.npy,inbrob1
blnmon1_XC239352.ogg.npy,blnmon1
ashpri1_XC788070.ogg.npy,ashpri1
eucdov_XC255456.ogg.npy,eucdov
purher1_XC827207.ogg.npy,purher1
piekin1_XC211031.ogg.npy,piekin1
compea_XC688178.ogg.npy,compea
litgre1_XC714440.ogg.npy,litgre1
comtai1_XC647854.ogg.npy,comtai1
hoopoe_XC544855.ogg.npy,hoopoe
houspa_XC506886.ogg.npy,houspa
rerswa1_XC267443.ogg.npy,rerswa1
lirplo_XC371009.ogg.npy,lirplo
categr_XC414792.ogg.npy,categr
whiter2_XC720985.ogg.npy,whiter2
grenig1_XC490559.ogg.npy,grenig1
litgre1_XC642684.ogg.npy,litgre1
litspi1_XC730887.ogg.npy,litspi1
maltro1_XC775936.ogg.npy,maltro1
blhori1_XC301666.ogg.npy,blhori1
rerswa1_XC790247.ogg.npy,rerswa1
grtdro1_XC86959.ogg.npy,grtdro1
comsan_XC187104.ogg.npy,comsan
graher1_XC365518.ogg.npy,graher1
blakit1_XC337367.ogg.npy,blakit1
labcro1_XC42631.ogg.npy,labcro1
sbeowl1_XC416706.ogg.npy,sbeowl1
rocpig_XC266224.ogg.npy,rocpig
categr_XC774059.ogg.npy,categr
houspa_XC621056.ogg.npy,houspa
litgre1_XC630560.ogg.npy,litgre1
houspa_XC630629.ogg.npy,houspa
comros_XC376524.ogg.npy,comros
comsan_XC674243.ogg.npy,comsan
litgre1_XC663486.ogg.npy,litgre1
whcbar1_XC545230.ogg.npy,whcbar1
grtdro1_XC418170.ogg.npy,grtdro1
comtai1_XC709690.ogg.npy,comtai1
grecou1_XC357939.ogg.npy,grecou1
eucdov_XC522389.ogg.npy,eucdov
whbbul2_XC283657.ogg.npy,whbbul2
rewlap1_XC404493.ogg.npy,rewlap1
wemhar1_XC769191.ogg.npy,wemhar1
pomgrp2_XC201372.ogg.npy,pomgrp2
blakit1_XC442335.ogg.npy,blakit1
comgre_XC530483.ogg.npy,comgre
comgre_XC644750.ogg.npy,comgre
spodov_XC756521.ogg.npy,spodov
plapri1_XC804190.ogg.npy,plapri1
litspi1_XC126809.ogg.npy,litspi1
grnsan_XC482473.ogg.npy,grnsan
rorpar_XC267519.ogg.npy,rorpar
cregos1_XC719756.ogg.npy,cregos1
lblwar1_XC761719.ogg.npy,lblwar1
comsan_XC589962.ogg.npy,comsan
houspa_XC772998.ogg.npy,houspa
comkin1_XC428404.ogg.npy,comkin1
comsan_XC665633.ogg.npy,comsan
greegr_XC794544.ogg.npy,greegr
bkwsti_XC462028.ogg.npy,bkwsti
lirplo_XC128884.ogg.npy,lirplo
grnwar1_XC163912.ogg.npy,grnwar1
hoopoe_XC716753.ogg.npy,hoopoe
insbab1_XC548051.ogg.npy,insbab1
eucdov_XC810466.ogg.npy,eucdov
insbab1_XC315634.ogg.npy,insbab1
revbul_XC253197.ogg.npy,revbul
brcful1_XC213302.ogg.npy,brcful1
blakit1_XC740444.ogg.npy,blakit1
grewar3_XC814700.ogg.npy,grewar3
zitcis1_XC695164.ogg.npy,zitcis1
rorpar_XC857515.ogg.npy,rorpar
woosan_XC696443.ogg.npy,woosan
comgre_XC569706.ogg.npy,comgre
rorpar_XC688324.ogg.npy,rorpar
emedov2_XC666202.ogg.npy,emedov2
labcro1_XC152657.ogg.npy,labcro1
blnmon1_XC730729.ogg.npy,blnmon1
comtai1_XC325284.ogg.npy,comtai1
comros_XC826106.ogg.npy,comros
insbab1_XC366260.ogg.npy,insbab1
wemhar1_XC779772.ogg.npy,wemhar1
wemhar1_XC559668.ogg.npy,wemhar1
barswa_XC457827.ogg.npy,barswa
gargan_XC793034.ogg.npy,gargan
pursun3_XC291449.ogg.npy,pursun3
eurcoo_XC631755.ogg.npy,eurcoo
asbfly_XC267683.ogg.npy,asbfly
houspa_XC380911.ogg.npy,houspa
woosan_XC754765.ogg.npy,woosan
bcnher_XC341753.ogg.npy,bcnher
comsan_XC663987.ogg.npy,comsan
eucdov_XC726268.ogg.npy,eucdov
rerswa1_XC390263.ogg.npy,rerswa1
comtai1_XC584316.ogg.npy,comtai1
kenplo1_XC817404.ogg.npy,kenplo1
bcnher_XC548602.ogg.npy,bcnher
houspa_XC539455.ogg.npy,houspa
bkwsti_XC514031.ogg.npy,bkwsti
eaywag1_XC675354.ogg.npy,eaywag1
lirplo_XC728561.ogg.npy,lirplo
revbul_XC115441.ogg.npy,revbul
eucdov_XC267937.ogg.npy,eucdov
comkin1_XC511648.ogg.npy,comkin1
comgre_XC332531.ogg.npy,comgre
laudov1_XC196005.ogg.npy,laudov1
eurcoo_XC636840.ogg.npy,eurcoo
houspa_XC571251.ogg.npy,houspa
asikoe2_XC345305.ogg.npy,asikoe2
comros_XC458143.ogg.npy,comros
rorpar_XC202571.ogg.npy,rorpar
blrwar1_XC108661.ogg.npy,blrwar1
woosan_XC788172.ogg.npy,woosan
blnmon1_XC845975.ogg.npy,blnmon1
blakit1_XC209563.ogg.npy,blakit1
purher1_XC637275.ogg.npy,purher1
eaywag1_XC204556.ogg.npy,eaywag1
blrwar1_XC376441.ogg.npy,blrwar1
stbkin1_XC716671.ogg.npy,stbkin1
barswa_XC638092.ogg.npy,barswa
litegr_XC844752.ogg.npy,litegr
eurcoo_XC710307.ogg.npy,eurcoo
bcnher_XC561055.ogg.npy,bcnher
comtai1_XC382146.ogg.npy,comtai1
barswa_XC293856.ogg.npy,barswa
nilfly2_XC400011.ogg.npy,nilfly2
eurcoo_XC508348.ogg.npy,eurcoo
eucdov_XC700553.ogg.npy,eucdov
grewar3_XC153143.ogg.npy,grewar3
eucdov_XC548638.ogg.npy,eucdov
comgre_XC411641.ogg.npy,comgre
commoo3_XC544009.ogg.npy,commoo3
hoopoe_XC278153.ogg.npy,hoopoe
blakit1_XC419858.ogg.npy,blakit1
barswa_XC573106.ogg.npy,barswa
purher1_XC637422.ogg.npy,purher1
litegr_XC367043.ogg.npy,litegr
litgre1_XC803923.ogg.npy,litgre1
whtkin2_XC404882.ogg.npy,whtkin2
bcnher_XC539681.ogg.npy,bcnher
blrwar1_XC322360.ogg.npy,blrwar1
lirplo_XC704744.ogg.npy,lirplo
grywag_XC511573.ogg.npy,grywag
comior1_XC730187.ogg.npy,comior1
litegr_XC499178.ogg.npy,litegr
eurcoo_XC855706.ogg.npy,eurcoo
labcro1_XC359290.ogg.npy,labcro1
comior1_XC190966.ogg.npy,comior1
rewlap1_XC815135.ogg.npy,rewlap1
rewbul_XC811678.ogg.npy,rewbul
grehor1_XC190872.ogg.npy,grehor1
brnhao1_XC206372.ogg.npy,brnhao1
eaywag1_XC675510.ogg.npy,eaywag1
bcnher_XC747798.ogg.npy,bcnher
whiter2_XC246616.ogg.npy,whiter2
litgre1_XC331376.ogg.npy,litgre1
brnhao1_XC507988.ogg.npy,brnhao1
grewar3_XC266869.ogg.npy,grewar3
comkin1_XC189777.ogg.npy,comkin1
grnsan_XC596559.ogg.npy,grnsan
brwowl1_XC768381.ogg.npy,brwowl1
bcnher_XC464754.ogg.npy,bcnher
bladro1_XC580650.ogg.npy,bladro1
gybpri1_XC487517.ogg.npy,gybpri1
litgre1_XC795505.ogg.npy,litgre1
houspa_XC380687.ogg.npy,houspa
graher1_XC747516.ogg.npy,graher1
rerswa1_XC144856.ogg.npy,rerswa1
grtdro1_XC150643.ogg.npy,grtdro1
comior1_XC730796.ogg.npy,comior1
bcnher_XC209828.ogg.npy,bcnher
asikoe2_XC769757.ogg.npy,asikoe2
greegr_XC116014.ogg.npy,greegr
comkin1_XC714216.ogg.npy,comkin1
comros_XC457667.ogg.npy,comros
kenplo1_XC338269.ogg.npy,kenplo1
bkcbul1_XC302749.ogg.npy,bkcbul1
vehpar1_XC722440.ogg.npy,vehpar1
gyhcaf1_XC491050.ogg.npy,gyhcaf1
brakit1_XC208282.ogg.npy,brakit1
eaywag1_XC587270.ogg.npy,eaywag1
eaywag1_XC765492.ogg.npy,eaywag1
labcro1_XC116710.ogg.npy,labcro1
brwjac1_XC207099.ogg.npy,brwjac1
eucdov_XC788377.ogg.npy,eucdov
dafbab1_XC346186.ogg.npy,dafbab1
jerbus2_XC581419.ogg.npy,jerbus2
comgre_XC592714.ogg.npy,comgre
orihob2_XC643752.ogg.npy,orihob2
barswa_XC744925.ogg.npy,barswa
greegr_XC198104.ogg.npy,greegr
bcnher_XC555678.ogg.npy,bcnher
gyhcaf1_XC470413.ogg.npy,gyhcaf1
comros_XC116931.ogg.npy,comros
woosan_XC668548.ogg.npy,woosan
comgre_XC432273.ogg.npy,comgre
eurcoo_XC208646.ogg.npy,eurcoo
graher1_XC549779.ogg.npy,graher1
graher1_XC625963.ogg.npy,graher1
nutman_XC558256.ogg.npy,nutman
gloibi_XC773519.ogg.npy,gloibi
nutman_XC598943.ogg.npy,nutman
houspa_XC169354.ogg.npy,houspa
eaywag1_XC682380.ogg.npy,eaywag1
labcro1_XC451339.ogg.npy,labcro1
comkin1_XC155264.ogg.npy,comkin1
grewar3_XC138468.ogg.npy,grewar3
comsan_XC823822.ogg.npy,comsan
graher1_XC357552.ogg.npy,graher1
kenplo1_XC797984.ogg.npy,kenplo1
rewbul_XC463157.ogg.npy,rewbul
asikoe2_XC793876.ogg.npy,asikoe2
eucdov_XC380917.ogg.npy,eucdov
marsan_XC357930.ogg.npy,marsan
rewlap1_XC531496.ogg.npy,rewlap1
comgre_XC795128.ogg.npy,comgre
ashdro1_XC114604.ogg.npy,ashdro1
rorpar_XC761660.ogg.npy,rorpar
eaywag1_XC345951.ogg.npy,eaywag1
eurcoo_XC483692.ogg.npy,eurcoo
comgre_XC740374.ogg.npy,comgre
greegr_XC663143.ogg.npy,greegr
eurcoo_XC550266.ogg.npy,eurcoo
litegr_XC187712.ogg.npy,litegr
bcnher_XC587854.ogg.npy,bcnher
rewlap1_XC196952.ogg.npy,rewlap1
comros_XC420491.ogg.npy,comros
copbar1_XC164811.ogg.npy,copbar1
eucdov_XC570541.ogg.npy,eucdov
brnhao1_XC382468.ogg.npy,brnhao1
bkskit1_XC613475.ogg.npy,bkskit1
kenplo1_XC785265.ogg.npy,kenplo1
houcro1_XC430266.ogg.npy,houcro1
litegr_XC749604.ogg.npy,litegr
eurcoo_XC599767.ogg.npy,eurcoo
graher1_XC576088.ogg.npy,graher1
eucdov_XC745871.ogg.npy,eucdov
shikra1_XC723548.ogg.npy,shikra1
comros_XC134544.ogg.npy,comros
eurcoo_XC720887.ogg.npy,eurcoo
litegr_XC318093.ogg.npy,litegr
kenplo1_XC807007.ogg.npy,kenplo1
blrwar1_XC371878.ogg.npy,blrwar1
litegr_XC718503.ogg.npy,litegr
comgre_XC266140.ogg.npy,comgre
woosan_XC344910.ogg.npy,woosan
woosan_XC381238.ogg.npy,woosan
comros_XC492481.ogg.npy,comros
houcro1_XC438825.ogg.npy,houcro1
bcnher_XC467243.ogg.npy,bcnher
wemhar1_XC333371.ogg.npy,wemhar1
gybpri1_XC665436.ogg.npy,gybpri1
labcro1_XC115155.ogg.npy,labcro1
greegr_XC605063.ogg.npy,greegr
grefla1_XC294999.ogg.npy,grefla1
gyhcaf1_XC720380.ogg.npy,gyhcaf1
whbwoo2_XC490564.ogg.npy,whbwoo2
gargan_XC799024.ogg.npy,gargan
commoo3_XC645312.ogg.npy,commoo3
purher1_XC671202.ogg.npy,purher1
bladro1_XC823504.ogg.npy,bladro1
copbar1_XC289527.ogg.npy,copbar1
asikoe2_XC555554.ogg.npy,asikoe2
houspa_XC548522.ogg.npy,houspa
whbbul2_XC633434.ogg.npy,whbbul2
compea_XC316266.ogg.npy,compea
kenplo1_XC526232.ogg.npy,kenplo1
whbwat1_XC687887.ogg.npy,whbwat1
kenplo1_XC807005.ogg.npy,kenplo1
junbab2_XC322653.ogg.npy,junbab2
comtai1_XC809633.ogg.npy,comtai1
rorpar_XC856219.ogg.npy,rorpar
crbsun2_XC783810.ogg.npy,crbsun2
btbeat1_XC207621.ogg.npy,btbeat1
bcnher_XC707808.ogg.npy,bcnher
grecou1_XC195756.ogg.npy,grecou1
bkwsti_XC815231.ogg.npy,bkwsti
malpar1_XC568954.ogg.npy,malpar1
ashdro1_XC784861.ogg.npy,ashdro1
bkskit1_XC350261.ogg.npy,bkskit1
gargan_XC547205.ogg.npy,gargan
grnsan_XC607632.ogg.npy,grnsan
litgre1_XC780433.ogg.npy,litgre1
barswa_XC458230.ogg.npy,barswa
