spectrogram,label,label_idx
eucdov_XC743744.ogg.npy,eucdov,55
blrwar1_XC247643.ogg.npy,blrwar1,20
grywag_XC511573.ogg.npy,grywag,76
insowl1_XC19739.ogg.npy,insowl1,91
bladro1_XC598150.ogg.npy,bladro1,15
rossta2_XC685678.ogg.npy,rossta2,144
shikra1_XC748885.ogg.npy,shikra1,151
lirplo_XC791785.ogg.npy,lirplo,105
grnsan_XC840053.ogg.npy,grnsan,71
sbeowl1_XC607716.ogg.npy,sbeowl1,149
graher1_XC185024.ogg.npy,graher1,62
junowl1_XC214016.ogg.npy,junowl1,97
gargan_XC466025.ogg.npy,gargan,59
grtdro1_XC603538.ogg.npy,grtdro1,73
whbbul2_XC209566.ogg.npy,whbbul2,167
comsan_XC554707.ogg.npy,comsan,44
yebbul3_XC343912.ogg.npy,yebbul3,180
comros_XC211623.ogg.npy,comros,43
barswa_XC267430.ogg.npy,barswa,9
whrmun_XC770525.ogg.npy,whrmun,175
inbrob1_XC744706.ogg.npy,inbrob1,83
grnsan_XC301654.ogg.npy,grnsan,71
grnsan_XC804863.ogg.npy,grnsan,71
litegr_XC790717.ogg.npy,litegr,106
wynlau1_XC411406.ogg.npy,wynlau1,178
rerswa1_XC390256.ogg.npy,rerswa1,138
greegr_XC256098.ogg.npy,greegr,65
asikoe2_XC353944.ogg.npy,asikoe2,4
grnwar1_XC724024.ogg.npy,grnwar1,72
rorpar_XC518996.ogg.npy,rorpar,143
lirplo_XC482665.ogg.npy,lirplo,105
comros_XC206257.ogg.npy,comros,43
comros_XC200456.ogg.npy,comros,43
bkskit1_XC433764.ogg.npy,bkskit1,13
bkwsti_XC658287.ogg.npy,bkwsti,14
comkin1_XC591054.ogg.npy,comkin1,39
commoo3_XC539626.ogg.npy,commoo3,40
asikoe2_XC672602.ogg.npy,asikoe2,4
comgre_XC436348.ogg.npy,comgre,37
eurcoo_XC803660.ogg.npy,eurcoo,57
plapri1_XC834655.ogg.npy,plapri1,129
graher1_XC518945.ogg.npy,graher1,62
kenplo1_XC494532.ogg.npy,kenplo1,98
comsan_XC797067.ogg.npy,comsan,44
woosan_XC643769.ogg.npy,woosan,177
whiter2_XC840858.ogg.npy,whiter2,174
brwowl1_XC637207.ogg.npy,brwowl1,30
rewlap1_XC652830.ogg.npy,rewlap1,141
zitcis1_XC625321.ogg.npy,zitcis1,181
litegr_XC333947.ogg.npy,litegr,106
litgre1_XC552155.ogg.npy,litgre1,107
crseag1_XC797749.ogg.npy,crseag1,50
rocpig_XC645568.ogg.npy,rocpig,142
graher1_XC171558.ogg.npy,graher1,62
ashpri1_XC524458.ogg.npy,ashpri1,2
grewar3_XC761666.ogg.npy,grewar3,70
plapri1_XC834661.ogg.npy,plapri1,129
blakit1_XC764988.ogg.npy,blakit1,17
bcnher_XC633127.ogg.npy,bcnher,10
graher1_XC643229.ogg.npy,graher1,62
bkskit1_XC513401.ogg.npy,bkskit1,13
whrmun_XC711560.ogg.npy,whrmun,175
blakit1_XC507829.ogg.npy,blakit1,17
houspa_XC449172.ogg.npy,houspa,82
brodro1_XC267075.ogg.npy,brodro1,28
kenplo1_XC318414.ogg.npy,kenplo1,98
lirplo_XC653441.ogg.npy,lirplo,105
categr_XC800985.ogg.npy,categr,33
comkin1_XC217368.ogg.npy,comkin1,39
litegr_XC341750.ogg.npy,litegr,106
ashpri1_XC197604.ogg.npy,ashpri1,2
litegr_XC441059.ogg.npy,litegr,106
rorpar_XC246305.ogg.npy,rorpar,143
gargan_XC364561.ogg.npy,gargan,59
blnmon1_XC192434.ogg.npy,blnmon1,19
zitcis1_XC277478.ogg.npy,zitcis1,181
graher1_XC578263.ogg.npy,graher1,62
litegr_XC671370.ogg.npy,litegr,106
grtdro1_XC150638.ogg.npy,grtdro1,73
revbul_XC756560.ogg.npy,revbul,139
litgre1_XC567963.ogg.npy,litgre1,107
plapri1_XC398581.ogg.npy,plapri1,129
grnwar1_XC193362.ogg.npy,grnwar1,72
greegr_XC452101.ogg.npy,greegr,65
grewar3_XC140041.ogg.npy,grewar3,70
zitcis1_XC237241.ogg.npy,zitcis1,181
gyhcaf1_XC720385.ogg.npy,gyhcaf1,78
houspa_XC703378.ogg.npy,houspa,82
grtdro1_XC151470.ogg.npy,grtdro1,73
whcbar1_XC295483.ogg.npy,whcbar1,173
ingori1_XC733450.ogg.npy,ingori1,88
grewar3_XC565715.ogg.npy,grewar3,70
emedov2_XC328135.ogg.npy,emedov2,54
eurcoo_XC483692.ogg.npy,eurcoo,57
bcnher_XC818218.ogg.npy,bcnher,10
whiter2_XC845739.ogg.npy,whiter2,174
hoopoe_XC467861.ogg.npy,hoopoe,80
bkrfla1_XC283189.ogg.npy,bkrfla1,12
eurcoo_XC509427.ogg.npy,eurcoo,57
bcnher_XC631074.ogg.npy,bcnher,10
brcful1_XC113463.ogg.npy,brcful1,24
eucdov_XC760696.ogg.npy,eucdov,55
zitcis1_XC839548.ogg.npy,zitcis1,181
cregos1_XC804344.ogg.npy,cregos1,48
lirplo_XC541892.ogg.npy,lirplo,105
kenplo1_XC638362.ogg.npy,kenplo1,98
woosan_XC486250.ogg.npy,woosan,177
barswa_XC541443.ogg.npy,barswa,9
copbar1_XC321157.ogg.npy,copbar1,46
grecou1_XC577639.ogg.npy,grecou1,64
comior1_XC243350.ogg.npy,comior1,38
hoopoe_XC727065.ogg.npy,hoopoe,80
comgre_XC666102.ogg.npy,comgre,37
bcnher_XC714165.ogg.npy,bcnher,10
grtdro1_XC352069.ogg.npy,grtdro1,73
marsan_XC746419.ogg.npy,marsan,115
hoopoe_XC478795.ogg.npy,hoopoe,80
categr_XC520659.ogg.npy,categr,33
grenig1_XC239221.ogg.npy,grenig1,69
lirplo_XC553532.ogg.npy,lirplo,105
lirplo_XC309205.ogg.npy,lirplo,105
brfowl1_XC304563.ogg.npy,brfowl1,25
bcnher_XC696384.ogg.npy,bcnher,10
woosan_XC146902.ogg.npy,woosan,177
spodov_XC510575.ogg.npy,spodov,155
greegr_XC747042.ogg.npy,greegr,65
lblwar1_XC197743.ogg.npy,lblwar1,102
lirplo_XC505742.ogg.npy,lirplo,105
lirplo_XC643887.ogg.npy,lirplo,105
revbul_XC573347.ogg.npy,revbul,139
piebus1_XC856054.ogg.npy,piebus1,125
grewar3_XC765125.ogg.npy,grewar3,70
commyn_XC208164.ogg.npy,commyn,41
grewar3_XC162674.ogg.npy,grewar3,70
whbbul2_XC320268.ogg.npy,whbbul2,167
rorpar_XC209728.ogg.npy,rorpar,143
gloibi_XC417658.ogg.npy,gloibi,60
blakit1_XC298213.ogg.npy,blakit1,17
litegr_XC569463.ogg.npy,litegr,106
brodro1_XC304218.ogg.npy,brodro1,28
barswa_XC185774.ogg.npy,barswa,9
rorpar_XC464045.ogg.npy,rorpar,143
lewduc1_XC578472.ogg.npy,lewduc1,104
comsan_XC469617.ogg.npy,comsan,44
litgre1_XC490616.ogg.npy,litgre1,107
greegr_XC649137.ogg.npy,greegr,65
litegr_XC333895.ogg.npy,litegr,106
blrwar1_XC660430.ogg.npy,blrwar1,20
houspa_XC313240.ogg.npy,houspa,82
houspa_XC243554.ogg.npy,houspa,82
litegr_XC821296.ogg.npy,litegr,106
pursun4_XC116822.ogg.npy,pursun4,134
indrob1_XC534370.ogg.npy,indrob1,85
litspi1_XC404221.ogg.npy,litspi1,108
isbduc1_XC452274.ogg.npy,isbduc1,93
junbab2_XC507727.ogg.npy,junbab2,95
barswa_XC545986.ogg.npy,barswa,9
eucdov_XC303261.ogg.npy,eucdov,55
grejun2_XC398932.ogg.npy,grejun2,68
bkskit1_XC198488.ogg.npy,bkskit1,13
lirplo_XC571969.ogg.npy,lirplo,105
lobsun2_XC392064.ogg.npy,lobsun2,110
grecou1_XC133772.ogg.npy,grecou1,64
rocpig_XC606457.ogg.npy,rocpig,142
houspa_XC324458.ogg.npy,houspa,82
barswa_XC630247.ogg.npy,barswa,9
barswa_XC741699.ogg.npy,barswa,9
spodov_XC714151.ogg.npy,spodov,155
plapri1_XC607213.ogg.npy,plapri1,129
comros_XC372429.ogg.npy,comros,43
comkin1_XC465776.ogg.npy,comkin1,39
grewar3_XC560117.ogg.npy,grewar3,70
cregos1_XC649142.ogg.npy,cregos1,48
marsan_XC733177.ogg.npy,marsan,115
grtdro1_XC684720.ogg.npy,grtdro1,73
comkin1_XC611884.ogg.npy,comkin1,39
litegr_XC555268.ogg.npy,litegr,106
brwowl1_XC114848.ogg.npy,brwowl1,30
woosan_XC587076.ogg.npy,woosan,177
barswa_XC330211.ogg.npy,barswa,9
grewar3_XC580309.ogg.npy,grewar3,70
blakit1_XC799862.ogg.npy,blakit1,17
copbar1_XC197611.ogg.npy,copbar1,46
grecou1_XC813892.ogg.npy,grecou1,64
comros_XC546991.ogg.npy,comros,43
graher1_XC692946.ogg.npy,graher1,62
grywag_XC456051.ogg.npy,grywag,76
commyn_XC332018.ogg.npy,commyn,41
commyn_XC358067.ogg.npy,commyn,41
labcro1_XC731222.ogg.npy,labcro1,100
eucdov_XC490913.ogg.npy,eucdov,55
litgre1_XC825767.ogg.npy,litgre1,107
tibfly3_XC19882.ogg.npy,tibfly3,161
woosan_XC424655.ogg.npy,woosan,177
bkwsti_XC827771.ogg.npy,bkwsti,14
comsan_XC489016.ogg.npy,comsan,44
blakit1_XC645364.ogg.npy,blakit1,17
comkin1_XC782309.ogg.npy,comkin1,39
comtai1_XC245905.ogg.npy,comtai1,45
hoopoe_XC308876.ogg.npy,hoopoe,80
bwfshr1_XC19572.ogg.npy,bwfshr1,32
litspi1_XC807854.ogg.npy,litspi1,108
grtdro1_XC204128.ogg.npy,grtdro1,73
blnmon1_XC446407.ogg.npy,blnmon1,19
grtdro1_XC578797.ogg.npy,grtdro1,73
rocpig_XC550346.ogg.npy,rocpig,142
plapri1_XC616391.ogg.npy,plapri1,129
oripip1_XC644727.ogg.npy,oripip1,122
graher1_XC261370.ogg.npy,graher1,62
blrwar1_XC810149.ogg.npy,blrwar1,20
lirplo_XC645399.ogg.npy,lirplo,105
rerswa1_XC749418.ogg.npy,rerswa1,138
blrwar1_XC808108.ogg.npy,blrwar1,20
putbab1_XC256286.ogg.npy,putbab1,136
hoopoe_XC271739.ogg.npy,hoopoe,80
wemhar1_XC175684.ogg.npy,wemhar1,166
stbkin1_XC659332.ogg.npy,stbkin1,158
brnshr_XC397771.ogg.npy,brnshr,27
rewbul_XC571201.ogg.npy,rewbul,140
rorpar_XC451915.ogg.npy,rorpar,143
labcro1_XC652474.ogg.npy,labcro1,100
gryfra_XC37512.ogg.npy,gryfra,74
indtit1_XC497093.ogg.npy,indtit1,87
comros_XC519990.ogg.npy,comros,43
hoopoe_XC789694.ogg.npy,hoopoe,80
whbwat1_XC198538.ogg.npy,whbwat1,171
houcro1_XC150647.ogg.npy,houcro1,81
crbsun2_XC401644.ogg.npy,crbsun2,47
comtai1_XC713871.ogg.npy,comtai1,45
eurbla2_XC572926.ogg.npy,eurbla2,56
revbul_XC741596.ogg.npy,revbul,139
hoopoe_XC631991.ogg.npy,hoopoe,80
barswa_XC747232.ogg.npy,barswa,9
blhori1_XC743615.ogg.npy,blhori1,18
greegr_XC615285.ogg.npy,greegr,65
sbeowl1_XC172340.ogg.npy,sbeowl1,149
spodov_XC786220.ogg.npy,spodov,155
houspa_XC470472.ogg.npy,houspa,82
comros_XC330345.ogg.npy,comros,43
litgre1_XC463907.ogg.npy,litgre1,107
eucdov_XC672365.ogg.npy,eucdov,55
eurcoo_XC553789.ogg.npy,eurcoo,57
putbab1_XC465694.ogg.npy,putbab1,136
grnsan_XC719630.ogg.npy,grnsan,71
bkwsti_XC381753.ogg.npy,bkwsti,14
whiter2_XC738068.ogg.npy,whiter2,174
litgre1_XC697665.ogg.npy,litgre1,107
litgre1_XC180116.ogg.npy,litgre1,107
comkin1_XC511673.ogg.npy,comkin1,39
eurcoo_XC628514.ogg.npy,eurcoo,57
eucdov_XC460920.ogg.npy,eucdov,55
eurcoo_XC776591.ogg.npy,eurcoo,57
rorpar_XC370978.ogg.npy,rorpar,143
revbul_XC207653.ogg.npy,revbul,139
eurcoo_XC325111.ogg.npy,eurcoo,57
asikoe2_XC786438.ogg.npy,asikoe2,4
bkwsti_XC260279.ogg.npy,bkwsti,14
comior1_XC461221.ogg.npy,comior1,38
hoopoe_XC842273.ogg.npy,hoopoe,80
piekin1_XC515828.ogg.npy,piekin1,126
grywag_XC855698.ogg.npy,grywag,76
gargan_XC542669.ogg.npy,gargan,59
ashpri1_XC569653.ogg.npy,ashpri1,2
rorpar_XC692061.ogg.npy,rorpar,143
zitcis1_XC289346.ogg.npy,zitcis1,181
tibfly3_XC157467.ogg.npy,tibfly3,161
sttwoo1_XC793609.ogg.npy,sttwoo1,159
bkskit1_XC352579.ogg.npy,bkskit1,13
comior1_XC447224.ogg.npy,comior1,38
commyn_XC704442.ogg.npy,commyn,41
brwjac1_XC474621.ogg.npy,brwjac1,29
woosan_XC829104.ogg.npy,woosan,177
bkwsti_XC734221.ogg.npy,bkwsti,14
bkwsti_XC572896.ogg.npy,bkwsti,14
grewar3_XC809753.ogg.npy,grewar3,70
putbab1_XC486794.ogg.npy,putbab1,136
comior1_XC313636.ogg.npy,comior1,38
bkcbul1_XC129030.ogg.npy,bkcbul1,11
purher1_XC729813.ogg.npy,purher1,132
barswa_XC737674.ogg.npy,barswa,9
rorpar_XC208775.ogg.npy,rorpar,143
gyhcaf1_XC204130.ogg.npy,gyhcaf1,78
ashdro1_XC771306.ogg.npy,ashdro1,1
graher1_XC798168.ogg.npy,graher1,62
rorpar_XC199472.ogg.npy,rorpar,143
rewbul_XC811678.ogg.npy,rewbul,140
whbwoo2_XC683644.ogg.npy,whbwoo2,172
forwag1_XC684518.ogg.npy,forwag1,58
eucdov_XC722058.ogg.npy,eucdov,55
wynlau1_XC775948.ogg.npy,wynlau1,178
litspi1_XC560839.ogg.npy,litspi1,108
cohcuc1_XC316917.ogg.npy,cohcuc1,35
litgre1_XC833133.ogg.npy,litgre1,107
indtit1_XC209050.ogg.npy,indtit1,87
lirplo_XC374919.ogg.npy,lirplo,105
rorpar_XC209349.ogg.npy,rorpar,143
woosan_XC649226.ogg.npy,woosan,177
blakit1_XC740069.ogg.npy,blakit1,17
houcro1_XC355973.ogg.npy,houcro1,81
commyn_XC208162.ogg.npy,commyn,41
cohcuc1_XC253418.ogg.npy,cohcuc1,35
rerswa1_XC178393.ogg.npy,rerswa1,138
litegr_XC799679.ogg.npy,litegr,106
bcnher_XC828997.ogg.npy,bcnher,10
comior1_XC38821.ogg.npy,comior1,38
brodro1_XC240624.ogg.npy,brodro1,28
categr_XC148199.ogg.npy,categr,33
whiter2_XC803062.ogg.npy,whiter2,174
barswa_XC468712.ogg.npy,barswa,9
grnsan_XC658288.ogg.npy,grnsan,71
wemhar1_XC581045.ogg.npy,wemhar1,166
labcro1_XC805740.ogg.npy,labcro1,100
graher1_XC467834.ogg.npy,graher1,62
sbeowl1_XC391346.ogg.npy,sbeowl1,149
lirplo_XC545374.ogg.npy,lirplo,105
yebbab1_XC680927.ogg.npy,yebbab1,179
grnwar1_XC598919.ogg.npy,grnwar1,72
bkwsti_XC503215.ogg.npy,bkwsti,14
grywag_XC662526.ogg.npy,grywag,76
woosan_XC265186.ogg.npy,woosan,177
eurcoo_XC658397.ogg.npy,eurcoo,57
comsan_XC671723.ogg.npy,comsan,44
asikoe2_XC283132.ogg.npy,asikoe2,4
bkskit1_XC583278.ogg.npy,bkskit1,13
eaywag1_XC687219.ogg.npy,eaywag1,53
bkwsti_XC718460.ogg.npy,bkwsti,14
comkin1_XC293400.ogg.npy,comkin1,39
bcnher_XC551675.ogg.npy,bcnher,10
asikoe2_XC175830.ogg.npy,asikoe2,4
woosan_XC544863.ogg.npy,woosan,177
eaywag1_XC355983.ogg.npy,eaywag1,53
ruftre2_XC359160.ogg.npy,ruftre2,146
whiter2_XC670573.ogg.npy,whiter2,174
brnshr_XC815433.ogg.npy,brnshr,27
commoo3_XC549063.ogg.npy,commoo3,40
comkin1_XC710516.ogg.npy,comkin1,39
lirplo_XC741103.ogg.npy,lirplo,105
labcro1_XC802905.ogg.npy,labcro1,100
rewlap1_XC446880.ogg.npy,rewlap1,141
plapri1_XC828938.ogg.npy,plapri1,129
litswi1_XC28675.ogg.npy,litswi1,109
gybpri1_XC406647.ogg.npy,gybpri1,77
asikoe2_XC734769.ogg.npy,asikoe2,4
bcnher_XC357707.ogg.npy,bcnher,10
hoopoe_XC768913.ogg.npy,hoopoe,80
greegr_XC447826.ogg.npy,greegr,65
plapri1_XC711519.ogg.npy,plapri1,129
crseag1_XC365118.ogg.npy,crseag1,50
eucdov_XC267940.ogg.npy,eucdov,55
gyhcaf1_XC264972.ogg.npy,gyhcaf1,78
tilwar1_XC803259.ogg.npy,tilwar1,162
comros_XC476450.ogg.npy,comros,43
blnmon1_XC319056.ogg.npy,blnmon1,19
whbwoo2_XC123016.ogg.npy,whbwoo2,172
comgre_XC842890.ogg.npy,comgre,37
greegr_XC277163.ogg.npy,greegr,65
lirplo_XC549310.ogg.npy,lirplo,105
blhori1_XC346329.ogg.npy,blhori1,18
tibfly3_XC207747.ogg.npy,tibfly3,161
rorpar_XC359425.ogg.npy,rorpar,143
rufwoo2_XC498031.ogg.npy,rufwoo2,147
crseag1_XC206435.ogg.npy,crseag1,50
graher1_XC414456.ogg.npy,graher1,62
graher1_XC124689.ogg.npy,graher1,62
barswa_XC560073.ogg.npy,barswa,9
lirplo_XC785158.ogg.npy,lirplo,105
putbab1_XC665059.ogg.npy,putbab1,136
whrmun_XC853726.ogg.npy,whrmun,175
comgre_XC507428.ogg.npy,comgre,37
asbfly_XC677470.ogg.npy,asbfly,0
smamin1_XC435733.ogg.npy,smamin1,152
bcnher_XC780488.ogg.npy,bcnher,10
nutman_XC386736.ogg.npy,nutman,120
zitcis1_XC632795.ogg.npy,zitcis1,181
brwjac1_XC247318.ogg.npy,brwjac1,29
grnsan_XC701432.ogg.npy,grnsan,71
whiter2_XC554073.ogg.npy,whiter2,174
blakit1_XC467075.ogg.npy,blakit1,17
putbab1_XC828285.ogg.npy,putbab1,136
commyn_XC110879.ogg.npy,commyn,41
gloibi_XC793080.ogg.npy,gloibi,60
brwowl1_XC359128.ogg.npy,brwowl1,30
lirplo_XC631948.ogg.npy,lirplo,105
comros_XC183534.ogg.npy,comros,43
rocpig_XC492938.ogg.npy,rocpig,142
grewar3_XC266051.ogg.npy,grewar3,70
whiter2_XC288508.ogg.npy,whiter2,174
grbeat1_XC437483.ogg.npy,grbeat1,63
houcro1_XC344137.ogg.npy,houcro1,81
rerswa1_XC777595.ogg.npy,rerswa1,138
goflea1_XC608663.ogg.npy,goflea1,61
comros_XC807960.ogg.npy,comros,43
grtdro1_XC721649.ogg.npy,grtdro1,73
wemhar1_XC263710.ogg.npy,wemhar1,166
eurcoo_XC833392.ogg.npy,eurcoo,57
grewar3_XC758031.ogg.npy,grewar3,70
commoo3_XC381180.ogg.npy,commoo3,40
rocpig_XC74354.ogg.npy,rocpig,142
rorpar_XC163097.ogg.npy,rorpar,143
asikoe2_XC665233.ogg.npy,asikoe2,4
plapri1_XC407497.ogg.npy,plapri1,129
wemhar1_XC262853.ogg.npy,wemhar1,166
hoopoe_XC138222.ogg.npy,hoopoe,80
grnsan_XC666749.ogg.npy,grnsan,71
grtdro1_XC197118.ogg.npy,grtdro1,73
wemhar1_XC134843.ogg.npy,wemhar1,166
labcro1_XC575529.ogg.npy,labcro1,100
graher1_XC593201.ogg.npy,graher1,62
rewbul_XC307714.ogg.npy,rewbul,140
grywag_XC267571.ogg.npy,grywag,76
thbwar1_XC485182.ogg.npy,thbwar1,160
blhori1_XC403967.ogg.npy,blhori1,18
gyhcaf1_XC303897.ogg.npy,gyhcaf1,78
bcnher_XC344142.ogg.npy,bcnher,10
commoo3_XC624315.ogg.npy,commoo3,40
bkwsti_XC365152.ogg.npy,bkwsti,14
litegr_XC807312.ogg.npy,litegr,106
shikra1_XC454372.ogg.npy,shikra1,151
eaywag1_XC663175.ogg.npy,eaywag1,53
bcnher_XC678482.ogg.npy,bcnher,10
yebbab1_XC536074.ogg.npy,yebbab1,179
asikoe2_XC531791.ogg.npy,asikoe2,4
sohmyn1_XC786592.ogg.npy,sohmyn1,153
comtai1_XC304462.ogg.npy,comtai1,45
grbeat1_XC589194.ogg.npy,grbeat1,63
brakit1_XC209216.ogg.npy,brakit1,22
hoopoe_XC702279.ogg.npy,hoopoe,80
grywag_XC445267.ogg.npy,grywag,76
lirplo_XC562310.ogg.npy,lirplo,105
comkin1_XC785257.ogg.npy,comkin1,39
whtkin2_XC213367.ogg.npy,whtkin2,176
malwoo1_XC282589.ogg.npy,malwoo1,114
eucdov_XC727205.ogg.npy,eucdov,55
bkwsti_XC649286.ogg.npy,bkwsti,14
labcro1_XC347906.ogg.npy,labcro1,100
whbwoo2_XC808247.ogg.npy,whbwoo2,172
forwag1_XC255324.ogg.npy,forwag1,58
eaywag1_XC772237.ogg.npy,eaywag1,53
eucdov_XC530697.ogg.npy,eucdov,55
grtdro1_XC665379.ogg.npy,grtdro1,73
nutman_XC746719.ogg.npy,nutman,120
lirplo_XC551259.ogg.npy,lirplo,105
grewar3_XC181832.ogg.npy,grewar3,70
thbwar1_XC761422.ogg.npy,thbwar1,160
bcnher_XC548600.ogg.npy,bcnher,10
purher1_XC595003.ogg.npy,purher1,132
junbab2_XC507752.ogg.npy,junbab2,95
bcnher_XC361996.ogg.npy,bcnher,10
crseag1_XC770274.ogg.npy,crseag1,50
brakit1_XC353968.ogg.npy,brakit1,22
blnmon1_XC295001.ogg.npy,blnmon1,19
commoo3_XC557598.ogg.npy,commoo3,40
grewar3_XC183688.ogg.npy,grewar3,70
commoo3_XC837502.ogg.npy,commoo3,40
comior1_XC207869.ogg.npy,comior1,38
lirplo_XC552417.ogg.npy,lirplo,105
stbkin1_XC240372.ogg.npy,stbkin1,158
grefla1_XC295723.ogg.npy,grefla1,66
barswa_XC674733.ogg.npy,barswa,9
grecou1_XC845377.ogg.npy,grecou1,64
rocpig_XC843660.ogg.npy,rocpig,142
woosan_XC583077.ogg.npy,woosan,177
houspa_XC741808.ogg.npy,houspa,82
comtai1_XC785734.ogg.npy,comtai1,45
shikra1_XC681358.ogg.npy,shikra1,151
comtai1_XC643392.ogg.npy,comtai1,45
stbkin1_XC295782.ogg.npy,stbkin1,158
lirplo_XC809517.ogg.npy,lirplo,105
houspa_XC454068.ogg.npy,houspa,82
junbab2_XC352144.ogg.npy,junbab2,95
commoo3_XC776233.ogg.npy,commoo3,40
woosan_XC835157.ogg.npy,woosan,177
commyn_XC207633.ogg.npy,commyn,41
comgre_XC552662.ogg.npy,comgre,37
bladro1_XC814826.ogg.npy,bladro1,15
gloibi_XC800055.ogg.npy,gloibi,60
bcnher_XC826612.ogg.npy,bcnher,10
blakit1_XC485011.ogg.npy,blakit1,17
grywag_XC722596.ogg.npy,grywag,76
laudov1_XC388737.ogg.npy,laudov1,101
eucdov_XC423118.ogg.npy,eucdov,55
rufbab3_XC362123.ogg.npy,rufbab3,145
asikoe2_XC194905.ogg.npy,asikoe2,4
kenplo1_XC765286.ogg.npy,kenplo1,98
woosan_XC549757.ogg.npy,woosan,177
eurcoo_XC363900.ogg.npy,eurcoo,57
grewar3_XC568561.ogg.npy,grewar3,70
nutman_XC305700.ogg.npy,nutman,120
rewbul_XC214229.ogg.npy,rewbul,140
litswi1_XC443718.ogg.npy,litswi1,109
bkskit1_XC583760.ogg.npy,bkskit1,13
bcnher_XC123687.ogg.npy,bcnher,10
eaywag1_XC712471.ogg.npy,eaywag1,53
wemhar1_XC175683.ogg.npy,wemhar1,166
junbab2_XC254999.ogg.npy,junbab2,95
grywag_XC690448.ogg.npy,grywag,76
whiter2_XC697724.ogg.npy,whiter2,174
comgre_XC686493.ogg.npy,comgre,37
eaywag1_XC317369.ogg.npy,eaywag1,53
whbwat1_XC439487.ogg.npy,whbwat1,171
eurcoo_XC25894.ogg.npy,eurcoo,57
comsan_XC424348.ogg.npy,comsan,44
woosan_XC666750.ogg.npy,woosan,177
purher1_XC135431.ogg.npy,purher1,132
greegr_XC84914.ogg.npy,greegr,65
whbbul2_XC283657.ogg.npy,whbbul2,167
eaywag1_XC527600.ogg.npy,eaywag1,53
eucdov_XC821006.ogg.npy,eucdov,55
commoo3_XC570321.ogg.npy,commoo3,40
houcro1_XC208875.ogg.npy,houcro1,81
piekin1_XC517412.ogg.npy,piekin1,126
grecou1_XC163843.ogg.npy,grecou1,64
comros_XC324515.ogg.npy,comros,43
